path,category,size_bytes,evidence,risk,test_after_deletion,commit
build,GENERATED,1954590685,"Flutter/Gradle build output; matched /build/ in .gitignore; not tracked by git; can be regenerated by flutter build.","low","flutter pub get passed; flutter analyze passed","not committed: working tree contains unrelated uncommitted changes"
.dart_tool,GENERATED,94691987,"Flutter/Dart local tool metadata; matched .dart_tool/ in .gitignore; regenerated by flutter pub get/analyze; removed again after verification.","low","flutter pub get passed; flutter analyze passed","not committed: working tree contains unrelated uncommitted changes"
.apkcheck-api-fixed,GENERATED,60529793,"Unpacked APK inspection output; no references outside reports/docs/self; tracked accidentally in git; backup exists at C:\Backups\GlukoTrack_2026-07-15_15-41.","medium","flutter pub get passed; flutter analyze passed","not committed: working tree contains unrelated uncommitted changes"
.apkcheck-v2,GENERATED,60447873,"Unpacked APK inspection output; no references outside reports/docs/self; tracked accidentally in git; backup exists at C:\Backups\GlukoTrack_2026-07-15_15-41.","medium","flutter pub get passed; flutter analyze passed","not committed: working tree contains unrelated uncommitted changes"
"release","ARCHIVE_RELEASE","1124689145","Confirmed by user: archives/release; root release directory is git-ignored, untracked, contains APKs, old web/backend archives, screenshots, logs, unpacked build assets; source scan found no live references outside release.","low","rg reference scan passed before deletion; backup C:\Backups\GlukoTrack_2026-07-15_15-41 verified contains deleted files; Flutter verification after cleanup","not committed: working tree contains unrelated uncommitted changes"
"glucotrack_web_audit_20260709_1.zip","ARCHIVE_RELEASE","11013251","Confirmed by user: archives/release; root release archive is git-ignored, untracked, and not referenced by source scan.","low","rg reference scan passed before deletion; backup C:\Backups\GlukoTrack_2026-07-15_15-41 verified contains deleted file; Flutter verification after cleanup","not committed: working tree contains unrelated uncommitted changes"
"glucotrack_web_release_20260709_sos_values_final.tar.gz","ARCHIVE_RELEASE","11003345","Confirmed by user: archives/release; root release archive is git-ignored, untracked, and not referenced by source scan.","low","rg reference scan passed before deletion; backup C:\Backups\GlukoTrack_2026-07-15_15-41 verified contains deleted file; Flutter verification after cleanup","not committed: working tree contains unrelated uncommitted changes"
"glucotrack_web_release_20260709_sos_values.tar.gz","ARCHIVE_RELEASE","11003116","Confirmed by user: archives/release; root release archive is git-ignored, untracked, and not referenced by source scan.","low","rg reference scan passed before deletion; backup C:\Backups\GlukoTrack_2026-07-15_15-41 verified contains deleted file; Flutter verification after cleanup","not committed: working tree contains unrelated uncommitted changes"
"glucotrack_web_release_20260709_final_audit.tar.gz","ARCHIVE_RELEASE","11001572","Confirmed by user: archives/release; root release archive is git-ignored, untracked, and not referenced by source scan.","low","rg reference scan passed before deletion; backup C:\Backups\GlukoTrack_2026-07-15_15-41 verified contains deleted file; Flutter verification after cleanup","not committed: working tree contains unrelated uncommitted changes"
"glucotrack_web_audit_20260709_1_7z.zip","ARCHIVE_RELEASE","10610040","Confirmed by user: archives/release; root release archive is git-ignored, untracked, and not referenced by source scan.","low","rg reference scan passed before deletion; backup C:\Backups\GlukoTrack_2026-07-15_15-41 verified contains deleted file; Flutter verification after cleanup","not committed: working tree contains unrelated uncommitted changes"
